"","Case","Record type","Case stage","Case before","Filing party","Document date","Filing date","Filing number","Document reference","Original language","Number of pages","File size","Langue Document","Titre","URL"
"1","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","20-06-2019","21-06-2019","F3771","STL-11-01/T/TC/F3771/20190621/R322919-R322920/EN/af","English","2","126.86 KB","ENGLISH","Order to the Registry Regarding Minutes of Meeting of 26 November 2013","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190621-F3771-PUBLIC-TC-Order-to-Registry-re-Meeting-26Nov2013-EN-Web.pdf"
"2","Ayyash et al. (STL-11-01)","Response","Trial","Trial chamber","Registry","02-05-2019","02-05-2019","F3768","STL-11-01/T/TC/F3768/20190502/R322777-R322779/EN/mb","English","3","157.41 KB","ENGLISH","Response of the Legal Representative of Victims to the Prosecution Request for Permanent Protective Measures for PRH028 and Update regarding PRH024","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190502-F3768-PUBLIC-LRV-Resp-Protect-Meas-PRH028-Update-re-PRH024-EN-Web.pdf"
"3","Ayyash et al. (STL-11-01)","Addendum / Supplement","Trial","Trial chamber","Prosecution","29-04-2019","29-04-2019","F3767","STL-11-01/T/TC/F3767/ADD/20190429/R322769-R322770/EN/mb","English","2","133.97 KB","ENGLISH","Addendum to Prosecution Request for Permanent Protective Measures for PRH028 and Update Regarding PRH024","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190429-F3767-PUBLIC-OTP-ADD-Req-Protect-Meas-PRH028-Update-re-PRH024-EN-Web.pdf"
"4","Ayyash et al. (STL-11-01)","Request","Trial","Trial chamber","Prosecution","25-04-2019","25-04-2019","F3767","STL-11-01/T/TC/F3767/20190425/R322753-R322758/EN/af","English","6","464.66 KB","ENGLISH","Prosecution Request for Permanent Protective Measures for PRH028 and Update Regarding PRH024","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190425-F3767-PUBLIC-OTP-Req-Protect-Meas-PRH028-Update-re-PRH024-EN-Web.pdf"
"5","Ayyash et al. (STL-11-01)","Corrigendum","Trial","Trial chamber","Trial Chamber","25-04-2019","25-04-2019","F3697","STL-11-01/T/TC/F3697/CRG/20190425/R322751-R322752/EN/mb","English","2","184.66 KB","ENGLISH","Corrigendum to 'Decision Allowing the Oneissi Defence to Add 26 Documents Relating to Ahmed Abu Adass to Its Exhibit List and to Admit Them into Evidence' of 22 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190425-F3697-PUBLIC-CRG-TC-Dec-Allow-Oneissi-Add-26-Docs-re-Adass-into-Evid-EN-Web.pdf"
"6","Ayyash et al. (STL-11-01)","Corrigendum","Trial","Trial chamber","Trial Chamber","25-04-2019","20-05-2019","F3697","STL-11-01/T/TC/F3697/CRG/20190520/R322808-R322810/EN-FR/mb","English","3","201.9 KB","FRANÇAIS","Corrigendum to 'Decision Allowing the Oneissi Defence to Add 26 Documents Relating to Ahmed Abu Adass to Its Exhibit List and to Admit Them into Evidence' of 22 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190520-F3697-PUBLIC-CRG-TC-Dec-Allow-Oneissi-Add-26-Docs-re-Adass-Evid-EN-FR-Web.pdf"
"7","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Trial Chamber","04-04-2019","04-04-2019","F2998","STL-11-01/T/TC/F2998/PRV/20190404/R322654-R322655/EN/dm","English","2","257.4 KB","ENGLISH","Public Redacted Version of 'Invitation to the Registrar for the Victims and Witnesses Unit to Provide Submissions on Oneissi Defence Request Related to Witness [Redacted]' of 17 February 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190404-F2998-PUBLIC-PRV-TC-Invite-Reg-to-Provide-Subm-re-PRH073-EN-Web.pdf"
"8","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","04-04-2019","04-04-2019","F2960","STL-11-01/T/TC/F2960/PRV/20190404/R322652-R322653/EN/mb","English","2","182.74 KB","ENGLISH","Public Redacted Version of “Order Regarding Oneissi Defence Request Related to Witness [Redacted]” of 30 January 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190404-F2960-PUBLIC-PRV-TC-Order-30Jan2017-EN-Web.pdf"
"9","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","04-04-2019","28-05-2019","F2960","STL-11-01/T/TC/F2960/PRV/20190528/R322861-R322863/EN-AR/mb","English","3","990.6 KB","عربي","Public Redacted Version of “Order Regarding Oneissi Defence Request Related to Witness [Redacted]” of 30 January 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190528-F2960-PUBLIC-PRV-TC-Order-re-Req-Witness-EN-AR-Web.pdf"
"10","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","26-03-2019","26-03-2019",NA,"STL-11-01/T/TC/F3614/PRV/20190326/R322580-R322610/EN/dm","English","31","2.65 MB","ENGLISH","Public Redacted Version of 'Decision Partly Granting Seventh Sabra Defence Motion for the Admission of Documents relating to Ahmed Abu Adass - The 'Mohammed' Story' of 3 April 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190326-F3614-PUBLIC-PRV-TC-Dec-Partly-Grant-7th-Sabra-Mot-EN-Web.pdf"
"11","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","22-03-2019","22-03-2019","F3765","STL-11-01/T/TC/F3765/20190322/R322566-R322567/EN/dm","English","2","156.64 KB","ENGLISH","Order Reclassifying Three Ayyash Defence Filings","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190322-F3765-PUBLIC-TC-Order-Reclass-Ayyash-EN-Web.pdf"
"12","Ayyash et al. (STL-11-01)","Request","Trial","Trial chamber","Counsel","05-03-2019","05-03-2019","F3762","STL-11-01/T/TC/F3762/20190305/R322463-R322465/EN/dm","English","3","127.64 KB","ENGLISH","Request for Reclassification of Three Filings","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190305-F3762-PUBLIC-Ayyash-Req-for-Reclass-EN-Web.pdf"
"13","Ayyash et al. (STL-11-01)","Internal Memorandum","Trial","Trial chamber","Defence Office","22-02-2019","19-03-2019","F3764","STL-11-01/T/TC/F3764/20190319/R322549-R322552/FR/af","English","4","491.53 KB","FRANÇAIS","Internal Memorandum - Response to the Internal Memorandum from the Trial Chamber of 14 February 2019","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190319-F3764-PUBLIC-DO-IM-Rep-to-TC-IM-Monitor-Effect-Legal-Rep-FR-Web.pdf"
"14","Ayyash et al. (STL-11-01)","Internal Memorandum","Trial","Trial chamber","Defence Office","22-02-2019","20-03-2019","F3764","STL-11-01/T/TC/F3764/20190320/R322553-R322556/FR-EN/af","English","4","466.29 KB","ENGLISH","Internal Memorandum - Response to the Internal Memorandum from the Trial Chamber of 14 February 2019","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190320-F3764-PUBLIC-DO-IM-Rep-to-TC-IM-Monitor-Effect-Legal-Rep-FR-EN-Web2.pdf"
"15","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","19-02-2019","20-02-2019","F3760","STL-11-01/T/TC/F3760/20190220/R322295-R322296/EN/af","English","2","266.17 KB","ENGLISH","Order to Redact the Public Transcript and or the Public Broadcast of a Hearing Held on 25 and 26 June 2018","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190220-F3760-PUBLIC-TC-Order-Redact-Trans2526-June-2016-EN-Web.pdf"
"16","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","19-02-2019","19-02-2019","F3758","STL-11-01/T/TC/F3758/20190219/R322289-R322290/EN/af","English","2","291.7 KB","ENGLISH","Order to Redact the Public Transcript of Hearings Held on 21, 22, 25, 27, 28, and 29 January 2016","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190219-F3758-PUBLIC-TC-Order-Redact-Trans-Jan-2016-EN-Web.pdf"
"17","Ayyash et al. (STL-11-01)","Internal Memorandum","Trial","Trial chamber","Trial Chamber","14-02-2019","19-02-2019","F3759","STL-11-01/T/TC/F3759/20190219/R322293-R322294/EN/af","English","2","128.33 KB","ENGLISH","Trial Chamber's Internal Memorandum to the Head of Defence Office - Monitoring the Effective Legal Representation of Mr Hassan Habib Merhi's Defence","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190219-F3759-PUBLIC-TC-IM-Monitor-Effect-Legal-Rep-Merhi-EN-Web.pdf"
"18","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-02-2019","12-02-2019","F2995","STL-11-01/T/TC/F2995/PRV/20190212/R322212-R322215/EN/af","English","4","335.09 KB","ENGLISH","Public Redacted Version of 'Decision on Prosecution Application for a Summons to Appear for Witness PRH588 and Order Issuing a Summons' of 16 February 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190212-F2995-PUBLIC-PRV-TC-Dec-OTP-Mot-Summ-Appear-PRH588-EN-Web.pdf"
"19","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-02-2019","12-02-2019","F2995","STL-11-01/T/TC/F2995/A01/PRV/20190212/R322216-R322218/EN/af","English","3","183.07 KB","ANNEX A","Public Redacted Version of 'Decision on Prosecution Application for a Summons to Appear for Witness PRH588 and Order Issuing a Summons' of 16 February 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190212-F2995-PUBLIC-PRV-A01-TC-Dec-OTP-Mot-Summ-Appear-PRH588-EN-Web.pdf"
"20","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-02-2019","26-02-2019","F2995","STL-11-01/T/TC/F2995/PRV/20190226/R322408-R322412/EN-AR/af","English","5","1.83 MB","عربي","Public Redacted Version of 'Decision on Prosecution Application for a Summons to Appear for Witness PRH588 and Order Issuing a Summons' of 16 February 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190226-F2995-PUBLIC-PRV-TC-Dec-OTP-Mot-Summ-Appear-PRH588-EN-AR-Web.pdf"
"21","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","12-02-2019","26-02-2019","F2995","STL-11-01/T/TC/F2995/A01/PRV/20190226/R322448-R322450/EN-AR/af","English","3","1.04 MB","ANNEX A ARABIC","Public Redacted Version of 'Decision on Prosecution Application for a Summons to Appear for Witness PRH588 and Order Issuing a Summons' of 16 February 2017","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190226-F2995-PUBLIC-PRV-A01-TC-Dec-OTP-Mot-Summ-Appear-PRH588-EN-AR-Web.pdf"
"22","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","04-02-2019","04-02-2019","F3484","STL-11-01/T/TC/F3484/PRV/20190204/R322023-R322026/EN/af","English","4","349.5 KB","ENGLISH","Public Redacted Version of Order Denying the Merhi Defence Application to Remove a Prosecution Application from the Court Record","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190204-F3484-PUBLIC-PRV-TC-Order-Merhi-App-Rem-EN-Web.pdf"
"23","Ayyash et al. (STL-11-01)","Order","Trial","Trial chamber","Trial Chamber","04-02-2019","18-02-2019","F3484","STL-11-01/T/TC/F3484/PRV/20190218/R322231-R322234/EN-AR/af","English","4","1.8 MB","عربي","Public Redacted Version of Order Denying the Merhi Defence Application to Remove a Prosecution Application from the Court Record","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190218-F3484-PUBLIC-PRV-TC-Order-Merhi-App-Rem-EN-AR-Web.pdf"
"24","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Trial Chamber","16-01-2019","16-01-2019","F3756","STL-11-01/T/TC/F3756/20190116/R321920-R321922/EN/af","English","3","179.06 KB","ENGLISH","Trial Chamber Instruction Regarding Documents Marked for Identification","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190116-F3756-PUBLIC-TC-Intstruct-re-Documents-MFI-EN-Web.pdf"
"25","Ayyash et al. (STL-11-01)","Other","Trial","Trial chamber","Trial Chamber","16-01-2019","12-03-2019","F3756","STL-11-01/T/TC/F3756/20190312/R322487-R322489/EN-AR/af","English","3","1.05 MB","عربي","Trial Chamber Instruction Regarding Documents Marked for Identification","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20190312-F3756-PUBLIC-TC-Intstruct-re-Documents-MFI-EN-AR-Web.pdf"
"26","Ayyash et al. (STL-11-01)","Brief","Trial","Trial chamber","Counsel","27-11-2018","27-11-2018","F3721","STL-11-01/T/TC/F3721/COR.2/PRV/20181127/R321379-R321576/EN/dm","English","198","14.16 MB","ENGLISH","Public Redacted Version of the “Second Corrected Version of ‘Defence for Hussein Hassan Oneissi Final Trial Brief’”","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181127-F3721-PUBLIC-COR.2-PRV-Oneissi-Final-Trial-Brief-EN-Web.pdf"
"27","Ayyash et al. (STL-11-01)","Corrigendum","Trial","Trial chamber","Counsel","27-11-2018","27-11-2018","F3721","STL-11-01/T/TC/F3721/CRG.2/20181127/R321163-R321166/EN/dm","English","4","249.59 KB","ENGLISH","Second Corrigendum to ‘Defence for Hussein Hassan Oneissi Final Trial Brief’","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181127-F3721-PUBLIC-CRG.2-Oneissi-Final-Trial-Brief-EN-Web.pdf"
"28","Ayyash et al. (STL-11-01)","Decision","Trial","Trial chamber","Trial Chamber","27-11-2018","27-11-2018","F3754","STL-11-01/T/TC/F3754/20181127/R321161-R321162/EN/af","English","2","171.55 KB","ENGLISH","Decision on The Legal Representatives of Victims' Application to Withdraw One Participating Victim from the Proceedings","https://www.stl-tsl.org/crs/index.php/assets/Uploads/20181127-F3754-PUBLIC-TC-Dec-LRV-Appli-Withdraw-Victim-V028-EN-Web.pdf"
